country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,2.44TR,2.6TR,2.69TR,2.74TR,2.82TR,2.96TR,3.12TR,3.21TR,3.21TR,3.25TR,3.45TR,3.55TR,3.64TR,3.75TR,3.95TR,4.13TR,4.34TR,4.55TR,4.57TR,4.35TR,4.6TR,4.7TR,4.87TR,5.13TR,5.17TR,5.33TR,5.25TR,5.38TR,5.47TR,5.53TR,5.35TR
Kazakhstan,,,,112B,99.5B,93B,94.9B,97.8B,97.1B,99.2B,108B,127B,143B,157B,175B,191B,213B,236B,242B,258B,273B,294B,320B,373B,384B,382B,382B,400B,419B,445B,457B
Kenya,34B,35.6B,36.2B,36.7B,38.7B,41.7B,44.6B,45.8B,48B,49.7B,51.2B,54.3B,55.6B,58.1B,62.9B,69.2B,75.7B,82.9B,85B,88.5B,96.8B,105B,112B,125B,139B,159B,176B,199B,218B,232B,235B
Kyrgyz Republic,,10.6B,9.37B,8.09B,6.49B,6.24B,6.82B,7.51B,7.67B,7.97B,8.58B,9.45B,9.62B,10.5B,11.4B,11.9B,12.9B,14.4B,15.5B,16B,15.7B,16.3B,19.8B,21.8B,24B,24.1B,27B,29.8B,32.2B,32.3B,31.3B
Cambodia,,,,,,8.26B,8.85B,9.49B,9.99B,11.3B,12.6B,13.9B,15B,16.6B,18.8B,21.8B,25B,28.4B,30.8B,31B,33.1B,36.2B,40.2B,43.8B,46.1B,49.4B,54.4B,59B,64.5B,71.1B,71B
Kiribati,111M,151M,158M,156M,161M,173M,154M,189M,216M,199M,217M,233M,227M,223M,217M,228M,233M,248M,253M,243M,259M,255M,296M,341M,395M,481M,443M,488M,494M,546M,508M
St. Kitts and Nevis,368M,369M,388M,424M,456M,496M,527M,570M,564M,588M,665M,712M,730M,704M,765M,878M,947M,983M,1.06B,1.03B,1.04B,1.09B,1.04B,1.1B,1.13B,1.14B,1.21B,1.25B,1.33B,1.38B,1.29B
South Korea,358B,410B,445B,487B,543B,606B,666B,718B,684B,775B,866B,928B,1.02TR,1.05TR,1.14TR,1.21TR,1.3TR,1.41TR,1.47TR,1.45TR,1.58TR,1.64TR,1.7TR,1.74TR,1.8TR,1.94TR,2.03TR,2.11TR,2.2TR,2.23TR,2.25TR
Kosovo,,,,,,,,,,,,,,,9.45B,10.3B,11.2B,12.3B,13.2B,13.4B,14B,15.1B,15.8B,16.4B,16.7B,17.4B,18.1B,19.2B,20.4B,21.9B,20.7B
Kuwait,,,74.8B,94.1B,101B,113B,115B,124B,132B,126B,135B,134B,134B,157B,184B,211B,238B,254B,257B,239B,239B,262B,291B,296B,284B,201B,197B,238B,242B,248B,
Lao,4.37B,4.71B,5.08B,5.51B,6.08B,6.63B,7.22B,7.69B,8.04B,8.88B,9.35B,10.1B,10.9B,11.6B,12.8B,14.4B,15.6B,17.6B,19.1B,21.1B,22.4B,24.6B,29.3B,32.7B,37.3B,39.7B,44.8B,47.8B,52.3B,55.4B,56.6B
Lebanon,13.1B,17B,20.6B,22.9B,25.6B,28.1B,31.4B,32B,33.2B,33.6B,35B,36.4B,36.6B,33.7B,42.5B,46.3B,49.3B,56.6B,62B,67.4B,73.1B,75.9B,81.7B,88B,93.1B,97.4B,102B,109B,109B,103B,81.6B
Liberia,,,,,,,,,,,2.5B,2.46B,2.58B,1.78B,1.92B,2.13B,2.46B,2.84B,3.17B,3.4B,3.62B,4.16B,4.39B,5.13B,5.39B,5.27B,5.78B,6.47B,6.4B,6.5B,6.34B
